Name,Platform,Publisher,Developer,Genre,Rating,Year_of_Release,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Daxter,PSP,Sony Computer Entertainment,Ready at Dawn,Platform,E10+,2006,85,59,8.7,109,4.21
Warcraft II: Tides of Darkness,PC,Activision,,Strategy,,1995,,,,,4.21
FIFA Soccer 06,PS2,Electronic Arts,EA Canada,Sports,E,2005,80,32,7.8,47,4.21
EyeToy Play,PS2,Sony Computer Entertainment,"SCEE, Zoe Mode",Misc,E,2003,80,32,7.5,22,4.2
Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,Racing,E,2007,80,67,7.1,120,4.19
Assassin's Creed: Revelations,X360,Ubisoft,Ubisoft Montreal,Action,M,2011,80,77,7.2,564,4.19
FIFA 12,X360,Electronic Arts,,Sports,,2011,,,,,4.18
Teenage Mutant Ninja Turtles,NES,Palcom,,Action,,1989,,,,,4.17
Street Fighter IV,PS3,Capcom,Capcom,Fighting,T,2009,94,61,7.3,330,4.16
Excitebike,NES,Nintendo,,Racing,,1984,,,,,4.16
Frogger,PS,Hasbro Interactive,,Action,,1997,,,,,4.16
Madden NFL 2003,PS2,Electronic Arts,EA Sports,Sports,E,2002,95,25,7.7,65,4.14
Half-Life,PC,Vivendi Games,Valve Software,Shooter,M,1997,96,24,9.1,3161,4.12
Super Mario World 2: Yoshi's Island,SNES,Nintendo,,Platform,,1995,,,,,4.12
FIFA Soccer 07,PS2,Electronic Arts,,Sports,,2006,,,,,4.11
Street Fighter II Turbo,SNES,Capcom,,Fighting,,1992,,,,,4.1
World of Warcraft: The Burning Crusade,PC,Activision,Blizzard Entertainment,Role-Playing,T,2007,91,46,7.9,785,4.09
Battlefield 1,PS4,Electronic Arts,EA DICE,Shooter,M,2016,88,31,8.4,809,4.08
God of War II,PS2,Sony Computer Entertainment,SCE Santa Monica,Action,M,2007,93,70,8.9,709,4.07
World Soccer Winning Eleven 9,PS2,Konami Digital Entertainment,Konami,Sports,E,2005,,,8.2,23,4.06
Fallout: New Vegas,X360,Bethesda Softworks,Obsidian Entertainment,Role-Playing,M,2010,84,81,8.1,769,4.05
Forza Motorsport 2,X360,Microsoft Game Studios,Turn 10,Racing,E,2007,90,66,8.3,381,4.05
Carnival Games,Wii,Take-Two Interactive,Cat Daddy Games,Misc,E,2007,56,27,6,44,4.05
Watch Dogs,PS4,Ubisoft,Ubisoft Montreal,Action,M,2014,80,80,6.3,2996,4.05
Namco Museum Vol.3,PS,Sony Computer Entertainment,,Misc,,1996,,,,,4.05
Tekken Tag Tournament,PS2,Namco Bandai Games,Namco,Fighting,T,2000,85,25,8.5,117,4.05
Far Cry 4,PS4,Ubisoft,Ubisoft Montreal,Shooter,M,2014,85,83,7.7,1653,4.04
Star Fox 64,N64,Nintendo,,Shooter,,1997,,,,,4.03
Golf,NES,Nintendo,,Sports,,1984,,,,,4.01
Namco Museum: 50th Anniversary,PS2,Namco Bandai Games,Digital Eclipse,Misc,E10+,2005,61,21,tbd,,3.98
Left 4 Dead 2,X360,Electronic Arts,Valve Software,Shooter,M,2009,89,76,8.6,681,3.97
The Witcher 3: Wild Hunt,PS4,Namco Bandai Games,CD Projekt Red Studio,Role-Playing,M,2015,92,79,9.2,10179,3.97
Assassin's Creed: Unity,PS4,Ubisoft,"Ubisoft, Ubisoft Montreal",Action,M,2014,70,40,4.9,2050,3.96
Batman: Arkham Knight,PS4,Warner Bros. Interactive Entertainment,Rocksteady Studios,Action,M,2015,87,89,7.6,2679,3.95
The Legend of Zelda: Skyward Sword,Wii,Nintendo,Nintendo,Action,E10+,2011,93,81,8,1958,3.95
Fallout 3,PS3,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2008,90,57,8,910,3.94
Professor Layton and the Diabolical Box,DS,Nintendo,Level 5,Puzzle,E10+,2007,84,65,8.8,72,3.94
Donkey Kong Land,GB,Nintendo,,Platform,,1994,,,,,3.91
EA Sports Active,Wii,Electronic Arts,EA Canada,Sports,E,2009,81,27,8.7,39,3.9
Tony Hawk's Underground,PS2,Activision,Neversoft Entertainment,Sports,T,2003,90,38,8.7,121,3.9
Monster Hunter 4 Ultimate,3DS,Nintendo,Capcom,Role-Playing,T,2014,86,80,8.7,348,3.89
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2011,94,32,8.1,9073,3.88
NBA 2K16,PS4,Take-Two Interactive,Visual Concepts,Sports,E10+,2015,87,51,6.7,364,3.88
Tekken 5,PS2,Namco Bandai Games,Namco,Fighting,T,2005,88,62,8.6,229,3.87
Dragon Warrior III,NES,Enix Corporation,,Role-Playing,,1988,,,,,3.87
MotorStorm,PS3,Sony Computer Entertainment,Evolution Studios,Racing,T,2006,84,9,7.4,220,3.87
Nintendogs + cats,3DS,Nintendo,,Simulation,,2011,,,,,3.85
World Soccer Winning Eleven 8 International,PS2,Konami Digital Entertainment,KCET,Sports,E,2004,91,26,9.1,38,3.85
Sports Champions,PS3,Sony Computer Entertainment,"SCEA, Zindagi Games",Sports,E10+,2010,76,64,7.9,104,3.84
Namco Museum Vol.1,PS,Sony Computer Entertainment,,Misc,,1995,,,,,3.84
The Legend of Zelda: Link's Awakening,GB,Nintendo,,Action,,1992,,,,,3.83
Call of Duty: Ghosts,PS4,Activision,Infinity Ward,Shooter,M,2013,78,49,3.7,1564,3.83
Flash Focus: Vision Training in Minutes a Day,DS,Nintendo,"Nintendo, Namco Bandai Games",Misc,E,2007,59,22,4,4,3.83
Tom Clancy's The Division,PS4,Ubisoft,Massive Entertainment,Shooter,M,2016,80,64,7,2219,3.8
Big Brain Academy: Wii Degree,Wii,Nintendo,Nintendo,Misc,E,2007,68,33,6.9,39,3.79
Resident Evil Director's Cut,PS,Virgin Interactive,,Action,,1996,,,,,3.77
Mario & Luigi: Bowser's Inside Story,DS,Nintendo,,Role-Playing,,2009,,,,,3.77
LEGO Indiana Jones: The Original Adventures,X360,Activision,Traveller's Tales,Action,E10+,2008,77,60,7.5,66,3.76
The Sims: Unleashed,PC,Electronic Arts,Maxis,Simulation,T,2002,79,21,8,29,3.76
Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment,,Platform,,2007,,,,,3.74
Harry Potter and the Sorcerer's Stone,PS,Electronic Arts,Argonaut Games,Action,E,2001,64,11,7.5,41,3.73
Mario & Sonic at the London 2012 Olympic Games,Wii,Sega,,Sports,,2011,,,,,3.72
Resident Evil 3: Nemesis,PS,Eidos Interactive,,Action,,1999,,,,,3.72
Super Paper Mario,Wii,Nintendo,Intelligent Systems,Platform,E,2007,85,56,7.9,417,3.71
Spyro: Year of the Dragon,PS,Sony Computer Entertainment,Insomniac Games,Platform,E,2000,91,15,8.8,207,3.71
Assassin's Creed IV: Black Flag,PS3,Ubisoft,Ubisoft,Action,M,2013,88,36,8.1,840,3.71
FIFA Soccer 2005,PS2,Electronic Arts,EA Canada,Sports,E,2004,81,27,7.6,56,3.7
Pokémon Trading Card Game,GB,Nintendo,,Strategy,,1998,,,,,3.7
Friend Collection,DS,Nintendo,,Misc,,2009,,,,,3.67
Tony Hawk's Pro Skater 4,PS2,Activision,Neversoft Entertainment,Sports,T,2002,94,27,8.5,128,3.67
Star Wars Battlefront (2015),XOne,Electronic Arts,,Shooter,,2015,,,,,3.66
MySims,DS,Electronic Arts,TOSE,Simulation,E,2007,67,15,7.3,13,3.66
Midnight Club 3: DUB Edition,PSP,Take-Two Interactive,Rockstar Leeds,Racing,E10+,2005,74,34,8.4,31,3.65
Banjo-Kazooie,N64,Nintendo,,Platform,,1998,,,,,3.65
SOCOM: U.S. Navy SEALs,PS2,Sony Computer Entertainment,Zipper Interactive,Shooter,M,2002,82,42,7.9,82,3.65
Jak and Daxter: The Precursor Legacy,PS2,Sony Computer Entertainment,Naughty Dog,Platform,E,2001,90,35,8.7,312,3.64
Pokemon Snap,N64,Nintendo,,Simulation,,1999,,,,,3.63
Pro Evolution Soccer 2008,PS2,Konami Digital Entertainment,Konami,Sports,E,2007,82,10,7.9,38,3.63
Resident Evil 4,PS2,Capcom,Capcom,Action,M,2005,96,38,8.9,1013,3.62
Guitar Hero: World Tour,Wii,Activision,Vicarious Visions,Misc,T,2008,86,18,7.6,71,3.62
FIFA Soccer 10,PS3,Electronic Arts,EA Sports,Sports,E,2009,91,56,7.6,203,3.62
Star Wars: Battlefront,PS2,LucasArts,Pandemic Studios,Shooter,T,2004,82,36,8.7,142,3.61
Doom II: Hell on Earth,PC,Virgin Interactive,,Shooter,,1994,,,,,3.61
The Simpsons: Road Rage,PS2,Electronic Arts,Fox Interactive,Racing,T,2001,64,23,7.7,32,3.61
Luigi's Mansion,GC,Nintendo,Nintendo,Action,E,2001,78,34,8.5,161,3.6
Battlefield 4,PS4,Electronic Arts,EA DICE,Shooter,M,2013,85,18,6.9,1580,3.59
Star Wars: Battlefront II,PS2,LucasArts,Pandemic Studios,Shooter,T,2005,84,30,9,268,3.59
Just Dance 2014,Wii,Ubisoft,Ubisoft,Misc,E10+,2013,,,6.2,10,3.59
Cooking Mama 2: Dinner With Friends,DS,505 Games,Office Create,Simulation,E,2007,70,39,8,9,3.58
WWF SmackDown!,PS,THQ,,Fighting,,2000,,,,,3.58
Croc: Legend of the Gobbos,PS,Fox Interactive,,Platform,,1997,,,,,3.56
Grand Theft Auto: Liberty City Stories,PS2,Take-Two Interactive,Rockstar Leeds,Action,M,2006,78,49,7.8,112,3.54
The Getaway,PS2,Sony Computer Entertainment,Team Soho,Action,M,2002,72,49,6.8,88,3.54
Tomb Raider III: Adventures of Lara Croft,PS,Eidos Interactive,,Action,,1997,,,,,3.54
James Bond 007: Agent Under Fire,PS2,Electronic Arts,EA Redwood Shores,Shooter,T,2001,72,27,7.9,48,3.53
LEGO Star Wars: The Video Game,PS2,Eidos Interactive,,Action,,2005,,,,,3.53
Rugrats in Paris: The Movie,PS,THQ,,Action,,2000,,,,,3.52
FIFA Soccer 11,X360,Electronic Arts,EA Sports,Sports,E,2010,88,66,7.5,155,3.52
Spyro 2: Ripto's Rage!,PS,Sony Computer Entertainment,,Platform,,1999,,,,,3.52
Left 4 Dead,X360,Electronic Arts,Certain Affinity,Shooter,M,2008,89,67,7.9,1309,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Nintendo,,Platform,,1996,,,,,3.51
Assassin's Creed: Unity,XOne,Ubisoft,"Ubisoft, Ubisoft Montreal",Action,M,2014,72,59,4.1,1005,3.5
Kung Fu,NES,Nintendo,,Action,,1985,,,,,3.5
Resident Evil 5,X360,Capcom,Capcom,Action,M,2009,83,91,7.5,523,3.5
Assassin's Creed: Brotherhood,X360,Ubisoft,Ubisoft Montreal,Action,M,2010,89,81,8.3,693,3.49
FIFA Soccer 2004,PS2,Electronic Arts,EA Canada,Sports,E,N/A,84,20,6.4,76,3.49
Battlefield 4,PS3,Electronic Arts,EA DICE,Shooter,M,2013,80,14,5.8,579,3.49
Batman: Arkham Asylum,X360,Eidos Interactive,Rocksteady Studios,Action,T,2009,92,78,8.7,1080,3.48
Battlefield 4,X360,Electronic Arts,EA DICE,Shooter,M,2013,79,21,5.6,542,3.48
Battlefield: Bad Company 2,X360,Electronic Arts,EA DICE,Shooter,M,2010,88,75,8.6,869,3.47
Mario & Sonic at the Olympic Winter Games,DS,Sega,,Sports,,2009,,,,,3.46
Guitar Hero: On Tour,DS,Activision,Vicarious Visions,Misc,E10+,2008,71,70,8.8,29,3.46
Clubhouse Games,DS,Nintendo,Agenda,Misc,E,2006,83,30,8.4,28,3.45
Monster Hunter 4,3DS,Capcom,,Role-Playing,,2013,,,,,3.44
Borderlands,X360,Take-Two Interactive,Gearbox Software,Shooter,M,2009,84,83,8.2,715,3.44
Tekken 4,PS2,Namco Bandai Games,Namco,Fighting,T,2002,79,23,8.3,126,3.44
Final Fantasy III,SNES,SquareSoft,,Role-Playing,,1994,,,,,3.42
Grand Theft Auto 2,PS,Take-Two Interactive,DMA Design,Action,T,1998,70,15,8,67,3.42
Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment,"Kojima Productions, Moby Dick Studio",Action,M,2015,93,86,8.2,3943,3.41
Spider-Man 2,PS2,Activision,Treyarch,Action,T,2004,80,50,8.9,106,3.41
F-1 Race,GB,Nintendo,,Racing,,1990,,,,,3.41
FIFA Soccer 2003,PS2,Electronic Arts,EA Canada,Sports,E,2002,88,15,6.7,35,3.4
LittleBigPlanet 2,PS3,Sony Computer Entertainment,Media Molecule,Platform,E,2011,91,86,8.4,657,3.39
Crash Bash,PS,Sony Computer Entertainment,Eurocom Entertainment Software,Misc,E,2000,68,12,8.2,99,3.39
Assassin's Creed Syndicate,PS4,Ubisoft,Ubisoft Quebec,Action,M,2015,76,86,6.8,1319,3.39
LEGO Batman: The Videogame,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,2008,76,49,7.9,75,3.38
Destiny,XOne,Activision,"Bungie Software, Bungie",Shooter,T,2014,75,11,5.5,1735,3.37
WWF War Zone,PS,Acclaim Entertainment,,Fighting,,1998,,,,,3.36
The Legend of Zelda: Majora's Mask,N64,Nintendo,,Action,,2000,,,,,3.36
Far Cry 3,PS3,Ubisoft,Ubisoft Montreal,Shooter,M,2012,90,32,8.5,1041,3.35
Rugrats: Search For Reptar,PS,THQ,,Adventure,,1998,,,,,3.34
English Training: Have Fun Improving Your Skills!,DS,Nintendo,,Misc,,2006,,,,,3.33
James Bond 007: Nightfire,PS2,Electronic Arts,Eurocom Entertainment Software,Shooter,T,2002,77,20,8.5,66,3.33
Ratchet & Clank,PS2,Sony Computer Entertainment,,Platform,,2002,,,,,3.33
Monster Hunter X,3DS,Capcom,,Action,,2015,,,,,3.32
Star Wars Episode III: Revenge of the Sith,PS2,LucasArts,Double Helix Games,Action,T,2005,60,34,7.2,82,3.32
The Legend of Zelda: Spirit Tracks,DS,Nintendo,Nintendo,Action,E10+,2009,87,75,7.8,228,3.31
Max Payne,PS2,Take-Two Interactive,Rockstar Toronto,Shooter,M,2001,80,21,8.5,86,3.31
Assassin's Creed IV: Black Flag,X360,Ubisoft,Ubisoft,Action,M,2013,86,35,7.9,701,3.3
The Lord of the Rings: The Return of the King,PS2,Electronic Arts,EA Games,Action,T,2003,85,31,8.7,105,3.28
Yokai Watch 2 Ganso/Honke,3DS,Nintendo,,Role-Playing,,2014,,,,,3.28
Gears of War: Ultimate Edition,XOne,Microsoft Game Studios,"Splash Damage, The Coalition",Shooter,M,2015,82,74,7.5,563,3.28
True Crime: Streets of LA,PS2,Activision,"Luxoflux, Inc.",Action,M,2003,77,39,8,94,3.27
Professor Layton and the Unwound Future,DS,Nintendo,Level 5,Puzzle,E10+,2008,86,62,9.2,111,3.26
Gran Turismo (PSP),PSP,Sony Computer Entertainment,,Racing,,2009,,,,,3.25
FIFA 16,XOne,Electronic Arts,EA Sports,Sports,E,2015,84,45,4.4,459,3.25
Wii Music,Wii,Nintendo,Nintendo,Misc,E,2008,63,43,4.6,116,3.25
Tekken,PS,Sony Computer Entertainment,,Fighting,,1995,,,,,3.24
Madden NFL 16,PS4,Electronic Arts,EA Sports,Sports,E,2015,83,37,5.9,180,3.24
Gran Turismo 6,PS3,Sony Computer Entertainment,Polyphony Digital,Racing,E,2013,81,81,7.7,758,3.23
Halo: The Master Chief Collection,XOne,Microsoft Game Studios,343 Industries,Shooter,M,2014,85,69,7.2,1267,3.23
007: Tomorrow Never Dies,PS,Electronic Arts,,Shooter,,1999,,,,,3.21
Super Mario Maker,WiiU,Nintendo,Nintendo,Platform,E,2015,88,85,8.7,691,3.21
WWF SmackDown! 2: Know Your Role,PS,THQ,,Fighting,,2000,,,,,3.2
Baseball,NES,Nintendo,,Sports,,1983,,,,,3.2
Killer Instinct,SNES,Nintendo,,Fighting,,1995,,,,,3.2
Dragon Quest VI: Maboroshi no Daichi,SNES,Enix Corporation,,Role-Playing,,1995,,,,,3.19
God of War: Chains of Olympus,PSP,Sony Computer Entertainment,Ready at Dawn,Action,M,2008,91,79,8.6,565,3.18
Enter the Matrix,PS2,Atari,Shiny Entertainment,Action,T,2003,62,30,8.1,137,3.18
Crisis Core: Final Fantasy VII,PSP,Square Enix,Square Enix,Role-Playing,T,2007,83,67,8,463,3.18
Dance Central,X360,MTV Games,Harmonix Music Systems,Misc,T,2010,82,63,7.6,85,3.17
L.A. Noire,PS3,Take-Two Interactive,Team Bondi,Adventure,M,2011,89,78,7.7,1010,3.17
Ace Combat 04: Shattered Skies,PS2,Sony Computer Entertainment Europe,Namco,Simulation,E,2001,89,22,9.1,95,3.17
Animal Crossing,GC,Nintendo,Nintendo,Simulation,E,2001,87,42,8.9,137,3.15
FIFA Soccer 08,PS2,Electronic Arts,EA Canada,Sports,E,2007,83,12,6.5,36,3.14
Club Penguin: Elite Penguin Force,DS,Disney Interactive Studios,1st Playable Productions,Adventure,E,2008,,,8,37,3.14
Spider-Man,PS,Activision,Neversoft Entertainment,Action,E,2000,87,19,9,107,3.13
Mario Party 9,Wii,Nintendo,Nd Cube,Misc,E,2012,73,45,6.8,155,3.13
Need for Speed III: Hot Pursuit,PS,Electronic Arts,EA Canada,Racing,E,1998,88,13,,,3.12
Star Wars Episode I Racer,N64,Nintendo,,Racing,,1999,,,,,3.12
Sonic Rush,DS,Sega,"Dimps Corporation, Sonic Team",Platform,E,2005,82,43,8.5,101,3.12
Dragon Warrior IV,NES,Enix Corporation,,Role-Playing,,1990,,,,,3.12
Rhythm Heaven,DS,Nintendo,Nintendo,Misc,E,2008,83,48,9,63,3.11
Fallout: New Vegas,PS3,Bethesda Softworks,Obsidian Entertainment,Role-Playing,M,2010,82,57,7.8,492,3.11
Personal Trainer: Cooking,DS,Nintendo,Indies Zero,Misc,E,2006,81,12,7.8,10,3.11
The Elder Scrolls IV: Oblivion,PS3,Ubisoft,4J Studios,Role-Playing,M,2007,93,45,8,604,3.1
The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,Nintendo,Action,E,2013,91,81,8.9,1057,3.1
Resident Evil 6,PS3,Capcom,Capcom,Shooter,M,2012,74,34,5.4,1304,3.1
Mass Effect 2,X360,Electronic Arts,BioWare,Role-Playing,M,2010,96,98,8.9,3143,3.1
Dragon Ball Z: Budokai,PS2,Atari,Dimps Corporation,Fighting,T,2002,67,28,7.9,71,3.09
Madden NFL 2002,PS2,Electronic Arts,EA Sports,Sports,E,2001,94,23,7.9,46,3.08
World Class Track Meet,NES,Namco Bandai Games,,Sports,,1986,,,,,3.08
Donkey Kong,GB,Nintendo,,Platform,,1994,,,,,3.07
The Sims: Vacation,PC,Electronic Arts,Maxis,Simulation,T,2002,75,18,7.8,22,3.07
LEGO Batman: The Videogame,Wii,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,N/A,74,17,7.9,22,3.06
Animal Crossing: Happy Home Designer,3DS,Nintendo,Nintendo,Simulation,E,2015,66,60,6.9,106,3.05
The Sims 4,PC,Electronic Arts,Maxis,Simulation,T,2014,70,74,3.9,2057,3.05
Borderlands 2,X360,Take-Two Interactive,Gearbox Software,Shooter,M,2012,89,59,8.2,892,3.05
LEGO Batman: The Videogame,DS,Warner Bros. Interactive Entertainment,TT Fusion,Action,E10+,2008,72,16,8,16,3.05
Kung Fu Panda,X360,Activision,"Luxoflux, Inc.",Action,E10+,2008,75,42,7.4,32,3.04
Mass Effect 3,X360,Electronic Arts,BioWare,Role-Playing,M,2012,93,74,5.8,3725,3.04
Heavy Rain,PS3,Sony Computer Entertainment,Quantic Dream,Adventure,M,2010,87,107,7.7,2759,3.03
Rayman,PS,Ubisoft,,Platform,,1995,,,,,3.03
Saints Row 2,X360,THQ,Volition Inc.,Action,M,2008,81,75,8.1,307,3.03
Tom Clancy's Splinter Cell,XB,Ubisoft,Ubisoft Montreal,Action,T,2002,93,46,8.5,121,3.02
Mike Tyson's Punch-Out!!,NES,Nintendo,,Fighting,,1987,,,,,3.02
WWE SmackDown! Shut Your Mouth,PS2,THQ,,Sports,,2002,,,,,3.02
FIFA 14,PS4,Electronic Arts,EA Canada,Sports,E,2013,87,26,6.3,616,3.01
Killzone 2,PS3,Sony Computer Entertainment,Guerrilla,Shooter,M,2009,91,94,8.1,1505,3.01
Far Cry 3,X360,Ubisoft,Ubisoft Montreal,Shooter,M,2012,91,39,8.6,1247,3
Epic Mickey,Wii,Disney Interactive Studios,Junction Point,Platform,E,2010,73,78,7,131,3
NBA 2K13,X360,Take-Two Interactive,Visual Concepts,Sports,E,2012,88,41,7.2,131,3
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Atari,"Spike, Namco Bandai Games",Fighting,T,2007,73,24,9.2,173,3
wwe Smackdown vs. Raw 2006,PS2,N/A,,Fighting,,N/A,,,,,3
Star Fox,SNES,Nintendo,,Shooter,,1993,,,,,2.99
The Sims: Livin Large,PC,Electronic Arts,Maxis,Misc,T,2000,82,23,6.6,20,2.99
World Soccer Winning Eleven 6 International,PS2,Konami Digital Entertainment,KCET,Sports,E,2002,93,24,9.1,65,2.99
Devil May Cry,PS2,Capcom,Capcom,Action,M,2001,94,37,8.5,466,2.99
Star Wars: The Old Republic,PC,Electronic Arts,"LucasArts, BioWare",Role-Playing,T,2011,85,73,5.9,2748,2.96
Middle-Earth: Shadow of Mordor,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,Action,M,2014,84,85,8.1,1886,2.96
Sonic Heroes,PS2,Sega,Sonic Team,Platform,E,2003,64,29,7.8,94,2.96
Hitman 2: Silent Assassin,PS2,Eidos Interactive,Io Interactive,Action,M,2002,85,19,7.8,78,2.96
Titanfall,XOne,Electronic Arts,Respawn Entertainment,Shooter,M,2014,86,68,6.4,2658,2.95
Battlefield: Bad Company 2,PS3,Electronic Arts,EA DICE,Shooter,M,2010,88,59,8.5,572,2.95
Wave Race 64,N64,Nintendo,,Racing,,1996,,,,,2.94
SOCOM II: U.S. Navy SEALs,PS2,Sony Computer Entertainment,Zipper Interactive,Shooter,M,2003,87,42,9,93,2.94
WWE SmackDown! vs. RAW 2006,PS2,THQ,,Fighting,,2005,,,,,2.94
Pac-Man Collection,GBA,Atari,Mass Media,Puzzle,E,2001,79,13,7.8,4,2.94
Street Fighter IV,X360,Capcom,Capcom,Fighting,T,2009,93,77,7.3,292,2.94
inFAMOUS,PS3,Sony Computer Entertainment,Sucker Punch,Action,T,2009,85,98,8.3,1172,2.93
Kirby Super Star Ultra,DS,Nintendo,HAL Labs,Platform,E,2008,76,40,8.8,76,2.92
Call of Duty: Ghosts,XOne,Activision,Infinity Ward,Shooter,M,2013,78,7,4.3,700,2.92
FIFA 15,X360,Electronic Arts,EA Sports,Sports,E,2014,,,4.2,85,2.92
Super Mario World 2: Yoshi's Island,GBA,Nintendo,,Platform,,2002,,,,,2.91
Mass Effect,X360,Microsoft Game Studios,BioWare,Role-Playing,M,2007,91,74,8.7,1692,2.91
Sonic Mega Collection Plus,PS2,Sega,Sonic Team,Misc,E,2004,73,21,8.6,30,2.9
World Soccer Winning Eleven 7 International,PS2,Konami Digital Entertainment,KCET,Sports,E,2003,93,28,9,45,2.9
Sega Superstars Tennis,X360,Sega,Sumo Digital,Sports,E10+,2008,67,45,6.8,18,2.89
Hot Shots Golf 3,PS2,Sony Computer Entertainment,Clap Hanz,Sports,E,2001,85,30,8.9,16,2.89
Cooking Mama: Cook Off,Wii,505 Games,OfficeCreate,Simulation,E,2007,61,37,5.3,23,2.89
Call of Duty: Finest Hour,PS2,Activision,Spark Unlimited,Shooter,T,2004,76,49,7.7,69,2.89
WarioWare: Smooth Moves,Wii,Nintendo,Intelligent Systems,Puzzle,E10+,2006,83,61,7.4,179,2.89
Syphon Filter,PS,Sony Computer Entertainment,,Shooter,,1999,,,,,2.88
Imagine: Babyz,DS,Ubisoft,Ubisoft,Simulation,E,2007,,,7.7,15,2.87
Colin McRae Rally,PS,Codemasters,,Racing,,1998,,,,,2.87
Madden NFL 13,X360,Electronic Arts,EA Tiburon,Sports,E,2012,81,36,5.8,179,2.86
The Elder Scrolls III: Morrowind,XB,Ubisoft,Bethesda Softworks,Role-Playing,T,2002,87,34,8.7,111,2.86
Assassin's Creed IV: Black Flag,PS4,Ubisoft,Ubisoft,Action,M,2013,83,29,7.8,1530,2.85
Command & Conquer: Red Alert,PC,Virgin Interactive,,Strategy,,1996,,,,,2.85
F-Zero,SNES,Nintendo,,Racing,,1990,,,,,2.85
Yoshi's Story,N64,Nintendo,,Platform,,1997,,,,,2.85
Mortal Kombat,PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,Fighting,M,2011,84,60,8.4,494,2.84
Madden NFL 10,X360,Electronic Arts,EA Tiburon,Sports,E,2009,85,58,6.1,90,2.83
WWE SmackDown! vs. Raw,PS2,THQ,,Fighting,,2002,,,,,2.83
BioShock,X360,Take-Two Interactive,"Irrational Games, 2K Marin",Shooter,M,2007,96,88,8.9,2249,2.83
Metroid Prime,GC,Nintendo,Retro Studios,Shooter,T,2002,97,70,9.3,747,2.82
Assassin's Creed: Brotherhood,PS3,Ubisoft,Ubisoft Montreal,Action,M,2010,90,59,8.2,791,2.82
Finding Nemo,GBA,THQ,Vicarious Visions,Action,E,2003,,,7,8,2.82
Zumba Fitness 2,Wii,Majesco Entertainment,"Majesco Games, Majesco",Sports,T,2011,,,tbd,,2.81
Myst,PC,Red Orb,,Adventure,,1994,,,,,2.81
Medal of Honor,PS3,Electronic Arts,"EA DICE, Danger Close",Shooter,M,2010,75,56,7.5,286,2.81
Need for Speed: Most Wanted,PS3,Electronic Arts,,Racing,,2012,,,,,2.81
Imagine: Fashion Designer,DS,Ubisoft,Virtual Toys,Simulation,E,2007,,,7.6,7,2.8
WWE SmackDown! Here Comes the Pain,PS2,THQ,,Fighting,,2003,,,,,2.8
Hot Shots Golf,PS,Sony Computer Entertainment,,Sports,,1997,,,,,2.79
A Bug's Life,PS,Sony Computer Entertainment,,Platform,,1998,,,,,2.79
WWF SmackDown! Just Bring It,PS2,THQ,,Fighting,,2001,,,,,2.79
inFAMOUS: Second Son,PS4,Sony Computer Entertainment,Sucker Punch,Action,T,2014,80,90,7.9,2944,2.79
Dragon Quest V: Tenkuu no Hanayome,SNES,Enix Corporation,,Role-Playing,,1992,,,,,2.79
Mortal Kombat Trilogy,PS,GT Interactive,,Fighting,,1996,,,,,2.79
Monster Hunter Tri,3DS,Nintendo,,Role-Playing,,2011,,,,,2.79
NBA Street,PS2,Electronic Arts,NuFX,Sports,E,2001,89,22,8.6,39,2.79
Jak II,PS2,Sony Computer Entertainment,Naughty Dog,Platform,T,2003,87,47,8.2,241,2.78
Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment,,Platform,,2003,,,,,2.78
Need for Speed: Hot Pursuit,PS3,Electronic Arts,Criterion Games,Racing,E10+,2010,89,59,7.2,301,2.78
Skylanders: Spyro's Adventure,Wii,Activision,Toys for Bob,Action,E10+,2011,81,11,5.6,31,2.78
Battlefield 3,PC,Electronic Arts,EA DICE,Shooter,M,2011,89,61,7.5,4926,2.78
Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,"Warner Bros. Interactive Entertainment, NetherRealm Studios",Fighting,M,2015,83,81,7.7,836,2.78
The Sims,PS2,Electronic Arts,Edge of Reality,Simulation,T,2003,83,33,7.7,46,2.77
Killzone 3,PS3,Sony Computer Entertainment,Guerrilla,Shooter,M,2011,84,85,7.9,942,2.77
